Año,Departamento,Institución,Matrícula_Inicial,Matrícula_Final,Tasa_Deserción,Causa_Probable,Estrato_Promedio,Distancia_Promedio_Km
2022,Putumayo,Fernandez Group Rural,284,248,0.126,Trabajo infantil,1.6,3.19
2022,Amazonas,"Davis, Barnes and Tapia Rural",252,208,0.172,Trabajo infantil,1.1,2.65
2020,Guaviare,Wiggins-Mcguire Rural,223,194,0.129,Acceso,1.4,8.88
2024,La Guajira,"Woodard, Lowery and Fisher Rural",135,122,0.09,Económica,1.9,16.77
2021,Putumayo,Farmer and Sons Rural,129,113,0.119,Acceso,1.2,13.93
2020,Chocó,"Weaver, Larson and Hammond Rural",193,179,0.07,Acceso,2.0,1.0
2022,La Guajira,Pierce LLC Rural,221,198,0.104,Otro,1.1,4.27
2023,Guaviare,Gutierrez-Dillon Rural,142,128,0.092,Económica,1.5,9.22
2021,Nariño,Lamb PLC Rural,137,120,0.117,Acceso,1.3,1.13
2021,La Guajira,Bates-Mitchell Rural,69,63,0.079,Trabajo infantil,2.3,0.89
2020,Guaviare,Miller-Jenkins Rural,247,217,0.12,Otro,2.3,5.47
2024,Amazonas,Keith Inc Rural,219,201,0.079,Trabajo infantil,2.3,3.7
2024,La Guajira,James Ltd Rural,202,172,0.144,Acceso,1.2,2.49
2021,La Guajira,"Rivera, Ruiz and Arnold Rural",234,214,0.084,Acceso,1.1,8.48
2022,Nariño,Davidson PLC Rural,298,298,0.0,Acceso,1.9,3.11
2023,Nariño,Powers and Sons Rural,186,176,0.05,Migración,1.5,1.79
2023,Nariño,Perez LLC Rural,144,129,0.101,Otro,2.5,1.32
2023,Chocó,Lester PLC Rural,249,203,0.184,Acceso,1.8,11.49
2023,La Guajira,"Mason, Bates and Thompson Rural",259,222,0.141,Migración,2.2,11.85
2021,Chocó,"Bennett, Christensen and Morales Rural",63,63,0.0,Acceso,2.3,4.89
2024,Cauca,Alvarez PLC Rural,232,225,0.026,Otro,2.3,0.75
2022,Cauca,"Nelson, Gray and Rose Rural",245,206,0.157,Migración,1.4,7.9
2024,La Guajira,Jones and Sons Rural,262,227,0.132,Acceso,1.1,11.22
2021,Meta,"Johnson, Bowers and Meza Rural",276,216,0.214,Trabajo infantil,2.4,7.77
2023,Amazonas,Lewis-Robinson Rural,151,139,0.077,Otro,1.6,1.43
2023,Cauca,Atkins-Wilson Rural,145,136,0.058,Migración,1.0,6.81
2020,Putumayo,Johnson Group Rural,252,225,0.104,Migración,1.2,7.19
2022,Meta,Williams and Sons Rural,228,210,0.076,Migración,2.1,10.47
2023,Meta,Thomas Group Rural,207,175,0.152,Económica,2.4,0.59
2020,Chocó,Winters PLC Rural,105,97,0.074,Migración,1.8,9.37
2024,Guaviare,Hall-Moore Rural,158,144,0.087,Económica,2.2,7.98
2021,Chocó,Cobb Group Rural,81,76,0.051,Económica,1.4,0.81
2024,Meta,"Campbell, Kemp and Gregory Rural",66,56,0.138,Económica,2.3,6.37
2023,Guaviare,"Green, Salazar and West Rural",54,51,0.054,Otro,1.9,5.12
2021,Chocó,Brown Group Rural,159,139,0.121,Económica,1.9,1.45
2021,Casanare,"Mclean, Roberts and Petty Rural",97,78,0.194,Económica,1.8,2.12
2022,Cauca,Velazquez-Roberson Rural,294,290,0.011,Otro,1.8,3.1
2024,Guaviare,"Willis, Henson and Lane Rural",55,45,0.175,Acceso,2.3,14.71
2020,Casanare,Cannon PLC Rural,145,128,0.114,Trabajo infantil,2.1,3.52
2022,Cauca,"Lopez, Hancock and Vaughn Rural",138,131,0.044,Migración,2.1,4.73
2020,Putumayo,Jackson-Owens Rural,84,75,0.105,Económica,1.5,5.96
2022,La Guajira,"Evans, Reed and Branch Rural",262,226,0.136,Acceso,2.5,12.79
2023,La Guajira,Guerra Inc Rural,257,241,0.06,Migración,1.1,4.29
2023,Amazonas,Castillo-Gray Rural,125,109,0.124,Migración,1.1,4.67
2021,Amazonas,"Knight, Jones and Singh Rural",130,106,0.18,Trabajo infantil,1.8,13.62
2024,Meta,James-Walsh Rural,114,105,0.074,Económica,2.1,12.99
2021,Chocó,Booth PLC Rural,141,133,0.051,Económica,2.3,20.95
2022,Chocó,Christensen Inc Rural,81,73,0.094,Trabajo infantil,1.7,9.13
2023,Meta,Thompson-Allen Rural,279,250,0.103,Acceso,1.5,4.47
2021,Meta,Garcia LLC Rural,227,191,0.155,Acceso,1.6,2.55
2024,Chocó,Rogers and Sons Rural,255,231,0.092,Económica,2.1,8.12
2020,Casanare,Webb PLC Rural,204,187,0.079,Migración,1.8,0.02
2022,Cauca,Hall Inc Rural,70,66,0.049,Trabajo infantil,2.0,3.85
2022,Meta,Hammond PLC Rural,204,200,0.017,Acceso,1.2,12.62
2023,Putumayo,Martinez-Walker Rural,164,158,0.036,Económica,2.1,6.69
2022,Casanare,"Strickland, Schmidt and King Rural",120,115,0.035,Económica,1.1,3.01
2023,Putumayo,Roberts-Murray Rural,181,165,0.087,Migración,2.4,0.76
2021,Meta,"Wolf, Morales and Hernandez Rural",58,56,0.025,Migración,1.1,0.97
2022,Putumayo,"Stout, Cooper and Yang Rural",148,148,0.0,Otro,1.0,12.32
2021,Meta,"Leon, Trujillo and Maldonado Rural",292,263,0.097,Trabajo infantil,1.6,2.25
2020,La Guajira,Garcia-Dickerson Rural,185,149,0.192,Trabajo infantil,1.6,0.07
2022,Nariño,Martinez-Olson Rural,295,248,0.156,Económica,1.0,5.45
2021,Meta,"Rodriguez, Hart and Lopez Rural",182,166,0.087,Acceso,2.4,0.45
2020,Chocó,"Hill, Baker and Jenkins Rural",248,236,0.045,Trabajo infantil,2.1,28.84
2021,Chocó,Zhang LLC Rural,227,175,0.229,Acceso,1.3,0.35
2021,Cauca,Salinas and Sons Rural,165,148,0.103,Migración,2.3,6.93
2023,Cauca,Mcconnell-Jackson Rural,257,228,0.11,Trabajo infantil,2.0,1.15
2020,Guaviare,Smith-Luna Rural,188,170,0.093,Trabajo infantil,2.3,1.06
2021,La Guajira,"Hays, Krueger and Cook Rural",253,228,0.098,Trabajo infantil,1.8,4.16
2020,Nariño,Wilkinson and Sons Rural,252,233,0.073,Migración,1.4,0.34
2023,Amazonas,Pruitt Inc Rural,142,129,0.087,Otro,1.9,3.72
2023,Guaviare,Holland-Ellison Rural,83,68,0.175,Otro,2.3,2.91
2020,Chocó,Herrera-Wells Rural,151,126,0.162,Acceso,1.8,0.84
2023,Cauca,"Smith, Walker and Rogers Rural",82,82,0.0,Trabajo infantil,2.0,1.0
2023,Meta,Baker-Smith Rural,224,217,0.03,Otro,1.5,5.16
2024,La Guajira,Dixon LLC Rural,246,230,0.061,Migración,1.6,2.63
2020,Cauca,Gonzalez Inc Rural,182,155,0.147,Migración,1.5,0.14
2021,Putumayo,"Davenport, Dixon and Ramirez Rural",289,241,0.164,Migración,1.5,1.25
2024,Chocó,Kim-Johnson Rural,266,229,0.136,Económica,1.4,0.1
2024,Chocó,Porter-Lee Rural,82,78,0.044,Trabajo infantil,1.9,0.55
2020,Guaviare,Lyons PLC Rural,214,198,0.074,Migración,1.9,5.29
2024,La Guajira,Pratt and Sons Rural,93,81,0.124,Otro,2.1,1.36
2024,Putumayo,"Flynn, Garrison and Crawford Rural",265,241,0.088,Otro,1.1,6.41
2020,Cauca,Odom PLC Rural,61,56,0.081,Otro,1.4,9.68
2021,Casanare,"Williams, Morton and Velasquez Rural",208,190,0.082,Económica,1.7,5.51
2024,Chocó,Jefferson Inc Rural,214,180,0.158,Trabajo infantil,1.7,1.15
2023,Chocó,Rojas PLC Rural,166,144,0.13,Económica,2.0,0.07
2021,Meta,Harmon PLC Rural,156,142,0.085,Acceso,1.7,0.45
2022,La Guajira,Coleman Group Rural,130,114,0.116,Trabajo infantil,2.1,2.74
2022,Casanare,Duarte PLC Rural,83,79,0.037,Trabajo infantil,1.8,11.16
2020,Putumayo,"Ortiz, Bailey and Lee Rural",111,102,0.074,Acceso,1.2,1.5
2023,Nariño,"Edwards, Barnes and Liu Rural",86,72,0.152,Económica,1.1,2.39
2023,Casanare,"Bowen, Brown and Rodriguez Rural",113,110,0.022,Migración,2.2,4.89
2024,Putumayo,Dunn LLC Rural,98,85,0.13,Migración,1.7,2.63
2024,Meta,Blair-Roy Rural,177,177,0.0,Trabajo infantil,1.7,1.74
2020,Casanare,"French, Martinez and George Rural",179,145,0.185,Acceso,2.5,14.83
2021,Putumayo,"Ford, Blanchard and Callahan Rural",62,57,0.073,Económica,1.4,10.14
2024,Meta,"Holder, Goodman and Davis Rural",123,108,0.12,Otro,1.0,3.34
2020,Casanare,West Ltd Rural,84,75,0.106,Trabajo infantil,2.1,2.77
2023,Putumayo,Johnson and Sons Rural,61,54,0.108,Acceso,1.1,0.11
2024,Nariño,Spears and Sons Rural,142,125,0.115,Otro,1.4,5.02
2023,Guaviare,Simmons and Sons Rural,165,162,0.014,Otro,1.4,1.49
2024,Cauca,Gonzalez Inc Rural,82,73,0.109,Económica,1.6,20.8
2022,Guaviare,Martinez-Garcia Rural,290,263,0.091,Trabajo infantil,2.1,3.73
2021,Guaviare,Wiggins-Stevens Rural,152,140,0.073,Otro,1.1,0.09
2020,La Guajira,Alexander Ltd Rural,232,217,0.061,Trabajo infantil,2.2,12.28
2024,Meta,Evans LLC Rural,88,78,0.11,Otro,2.3,1.6
2021,Putumayo,Warren-Williams Rural,288,273,0.051,Otro,1.5,4.04
2023,Chocó,Yang Group Rural,201,170,0.151,Trabajo infantil,1.8,1.16
2024,Guaviare,"Collins, Meadows and Rivera Rural",175,153,0.124,Otro,1.4,0.06
2020,Putumayo,Sosa PLC Rural,134,118,0.113,Económica,2.5,4.59
2024,Chocó,Shaw-Miller Rural,253,215,0.149,Económica,1.9,5.47
2022,Nariño,"Dunn, Wheeler and Martin Rural",234,232,0.008,Económica,1.9,3.66
2021,Guaviare,Bailey-Pena Rural,211,203,0.036,Otro,2.2,0.24
2023,La Guajira,"Frazier, Cole and Mayo Rural",260,227,0.126,Migración,1.0,0.43
2020,Nariño,Butler PLC Rural,54,50,0.064,Acceso,1.5,4.62
2021,Casanare,Scott LLC Rural,226,210,0.069,Migración,1.6,1.7
2024,Meta,"Parker, Hanson and Jackson Rural",273,264,0.03,Económica,2.1,2.2
2024,Nariño,Baker Inc Rural,193,183,0.051,Trabajo infantil,2.5,4.18
2023,Guaviare,Carter-Harris Rural,146,123,0.153,Trabajo infantil,2.4,3.23
2023,Guaviare,Ortega-Wagner Rural,137,119,0.125,Otro,1.5,6.59
2022,Meta,Ball Ltd Rural,99,88,0.109,Migración,1.4,1.21
2022,Nariño,Griffin-Hernandez Rural,291,270,0.071,Trabajo infantil,2.2,3.43
2021,Meta,Allen Group Rural,131,117,0.106,Acceso,1.5,4.54
2022,Chocó,"Rodriguez, Wood and Smith Rural",81,68,0.157,Otro,2.0,0.56
2023,Casanare,Schultz Inc Rural,259,242,0.065,Trabajo infantil,2.4,0.39
2021,Chocó,Morrison Inc Rural,60,54,0.098,Trabajo infantil,2.4,5.83
2020,Putumayo,Johnson-Wilson Rural,286,231,0.189,Acceso,2.0,2.85
2023,Nariño,Smith Ltd Rural,101,87,0.135,Otro,1.4,8.03
2024,Chocó,West-Anderson Rural,85,78,0.072,Económica,1.9,5.93
2024,Nariño,"Cooper, Baker and Marks Rural",112,97,0.131,Económica,2.0,2.24
2024,Nariño,"Hart, Cole and Williams Rural",213,208,0.021,Migración,1.1,0.48
2023,Putumayo,Brown LLC Rural,233,210,0.096,Acceso,1.2,1.02
2021,Amazonas,Bonilla Inc Rural,296,257,0.131,Otro,2.5,3.9
2021,Casanare,Cooper-Carter Rural,217,191,0.119,Acceso,1.7,8.21
2021,Chocó,Abbott-Williams Rural,132,114,0.131,Trabajo infantil,2.0,5.38
2020,Nariño,Nelson LLC Rural,186,159,0.142,Económica,2.4,1.44
2021,Casanare,"Baxter, Smith and Smith Rural",275,241,0.123,Migración,2.4,3.36
2020,Casanare,Hamilton-Doyle Rural,251,220,0.121,Acceso,1.3,1.0
2022,Amazonas,"Conner, Day and Martinez Rural",52,46,0.11,Trabajo infantil,1.9,4.2
2020,Putumayo,"Hernandez, Adams and Roth Rural",122,116,0.046,Acceso,2.5,12.91
2024,Guaviare,Marsh-Mcmahon Rural,176,149,0.153,Migración,2.3,17.71
2023,Chocó,Reyes-Savage Rural,99,89,0.098,Económica,1.5,9.9
2023,Chocó,"Gill, Villanueva and Robinson Rural",233,201,0.134,Migración,1.0,9.31
2022,Chocó,Solis and Sons Rural,195,166,0.147,Migración,1.3,0.19
2023,Casanare,Spence LLC Rural,181,167,0.074,Trabajo infantil,1.1,4.54
2020,La Guajira,Martinez LLC Rural,85,78,0.078,Acceso,1.5,0.4
2021,Amazonas,Campbell-Lopez Rural,116,106,0.085,Acceso,1.4,5.96
2022,Putumayo,"Carter, Leach and Berry Rural",127,106,0.163,Otro,2.1,0.34
2020,Chocó,"Singleton, Jones and Martin Rural",217,205,0.055,Trabajo infantil,2.0,1.89
2020,Cauca,Daniel-Montgomery Rural,169,139,0.172,Trabajo infantil,1.2,1.92
2024,Chocó,Patterson-Golden Rural,226,201,0.11,Económica,2.0,4.92
2022,Putumayo,Adams-Graham Rural,207,183,0.113,Migración,1.3,1.33
2021,Meta,Mckee Group Rural,89,76,0.144,Acceso,2.1,0.12
2024,Putumayo,"Wilson, Gibbs and Alexander Rural",156,139,0.104,Otro,2.4,13.99
2024,Nariño,"Diaz, Perez and Williams Rural",245,207,0.153,Migración,2.0,8.02
2024,Cauca,Brown-Spencer Rural,184,170,0.074,Acceso,1.8,3.27
2022,Cauca,Choi-Jacobson Rural,284,235,0.17,Otro,1.2,4.94
2024,Guaviare,"Johnson, Martinez and Morgan Rural",101,93,0.078,Otro,1.8,2.74
2021,Putumayo,Stafford Inc Rural,268,221,0.173,Otro,1.7,6.69
2021,Meta,Short-Holloway Rural,73,67,0.079,Otro,1.7,2.19
2020,Meta,"Sutton, Chavez and Santana Rural",83,75,0.086,Otro,1.6,1.69
2024,Amazonas,Farmer-Luna Rural,193,183,0.05,Acceso,2.0,0.22
2022,Amazonas,Diaz Inc Rural,151,141,0.062,Trabajo infantil,2.2,0.09
2021,Cauca,Green-Woods Rural,61,55,0.098,Acceso,1.5,2.43
2020,Guaviare,Wallace-Hunt Rural,65,57,0.112,Económica,2.5,5.69
2023,Amazonas,Thornton Ltd Rural,123,104,0.149,Acceso,1.3,14.48
2021,Casanare,Fox-Schroeder Rural,145,132,0.089,Acceso,1.7,3.15
2023,Casanare,"Edwards, Guerrero and Hinton Rural",70,66,0.044,Otro,1.2,23.65
2022,Cauca,Cowan-Williams Rural,95,83,0.119,Otro,1.6,1.32
2021,Nariño,"Patrick, Cervantes and Brown Rural",263,234,0.108,Económica,2.1,4.68
2022,Meta,Roberts PLC Rural,222,194,0.125,Otro,1.6,3.59
2023,Nariño,Hicks PLC Rural,113,105,0.068,Acceso,1.5,1.25
2022,Nariño,"Buchanan, Duran and Estrada Rural",289,267,0.073,Económica,1.0,1.03
2023,Amazonas,Phillips-Baker Rural,111,103,0.068,Migración,1.1,0.3
2024,Amazonas,"Gomez, Fleming and Shaw Rural",164,137,0.159,Otro,2.0,17.39
2020,Nariño,Cervantes Inc Rural,239,198,0.171,Económica,1.6,5.95
2021,Guaviare,Mckinney-Mcconnell Rural,105,97,0.071,Económica,1.2,0.84
2022,Nariño,Cruz-Bell Rural,258,239,0.072,Otro,1.5,1.27
2024,Putumayo,"Jones, Guerrero and Vance Rural",110,95,0.132,Trabajo infantil,2.3,3.85
2024,Nariño,Hughes LLC Rural,155,127,0.177,Trabajo infantil,1.4,0.48
2024,La Guajira,"Ward, Washington and Jones Rural",210,170,0.19,Acceso,1.8,10.5
2020,Putumayo,"Fitzgerald, Ramirez and Maddox Rural",291,270,0.069,Acceso,2.2,10.98
2022,Casanare,Hernandez-Benson Rural,154,141,0.081,Migración,1.4,15.58
2021,Guaviare,Lane Ltd Rural,171,151,0.114,Migración,2.3,5.32
2022,La Guajira,Baker LLC Rural,256,226,0.117,Acceso,2.4,4.0
2024,Casanare,Black-Jones Rural,297,269,0.091,Acceso,1.8,2.33
2021,Casanare,Caldwell and Sons Rural,112,105,0.06,Trabajo infantil,1.3,1.5
2020,Meta,"Hicks, Mejia and Horne Rural",266,239,0.098,Trabajo infantil,1.1,0.42
2021,Amazonas,"Buchanan, Chang and Jacobs Rural",118,95,0.19,Acceso,2.0,1.24
2024,Amazonas,"Paul, Padilla and Scott Rural",273,252,0.074,Económica,1.3,9.53
2024,Guaviare,Warren LLC Rural,105,93,0.111,Acceso,1.3,3.42
2022,Chocó,Bates-Serrano Rural,294,227,0.226,Económica,1.3,8.71
2021,Cauca,Burns-Wallace Rural,241,223,0.073,Acceso,2.4,2.14
2024,Nariño,"Vargas, Garcia and Lopez Rural",151,130,0.134,Migración,1.8,1.55
2022,Casanare,"Goodwin, Rivas and Mills Rural",169,136,0.192,Otro,2.0,10.54
2022,Chocó,"Larsen, Smith and Cabrera Rural",142,123,0.13,Otro,2.3,9.51
2023,Cauca,Moreno PLC Rural,255,215,0.155,Acceso,2.1,10.1
2022,Nariño,"Hernandez, Garcia and Sampson Rural",144,123,0.141,Trabajo infantil,1.6,5.98
2024,Nariño,"Serrano, Lee and Collins Rural",239,209,0.125,Migración,1.0,5.7
2024,Casanare,Curtis-Hines Rural,125,103,0.169,Migración,1.3,0.86
2021,Casanare,Hampton Ltd Rural,195,169,0.132,Migración,1.7,10.64
2022,Chocó,Burns Inc Rural,245,222,0.092,Acceso,2.4,2.04
2023,Meta,Gentry-Gonzales Rural,93,83,0.107,Trabajo infantil,1.3,6.8
2024,Meta,Banks LLC Rural,97,85,0.118,Otro,2.5,8.92
2020,Guaviare,"Wright, Villarreal and Schmidt Rural",58,53,0.08,Económica,2.4,3.54
2020,Amazonas,"Bates, Hernandez and Alvarado Rural",155,137,0.11,Migración,2.3,5.0
2021,Cauca,Morris LLC Rural,231,207,0.102,Migración,1.0,1.5
2024,Meta,Brown-Pope Rural,145,125,0.132,Económica,1.9,7.57
2024,Meta,Murphy-Jones Rural,218,172,0.208,Acceso,1.0,0.57
2024,Guaviare,Moore-Williams Rural,155,137,0.112,Económica,1.0,16.48
2022,Guaviare,"Tran, Phelps and Becker Rural",300,246,0.179,Trabajo infantil,1.0,2.09
2023,La Guajira,Mclean-Curtis Rural,77,66,0.13,Económica,1.8,0.54
2021,Nariño,"Perez, Anderson and Leon Rural",208,185,0.109,Otro,1.4,13.84
2022,Chocó,"Montgomery, Zimmerman and Bell Rural",253,233,0.078,Acceso,1.1,1.79
2023,Meta,Ford-Ford Rural,194,172,0.11,Migración,2.5,6.16
2021,Chocó,"Wheeler, Smith and Lopez Rural",225,200,0.107,Económica,2.0,2.12
2020,Cauca,Perez Ltd Rural,153,143,0.065,Acceso,1.6,4.85
2023,Amazonas,"Mccullough, Palmer and Wright Rural",213,197,0.072,Económica,2.1,7.1
2020,Meta,Gray-Johnson Rural,266,234,0.119,Acceso,2.0,0.12
2022,Cauca,Oliver-Pruitt Rural,279,229,0.178,Otro,2.4,5.75
2021,Nariño,"Young, Leonard and Martinez Rural",280,252,0.097,Otro,1.7,2.95
2020,Cauca,"Brewer, Haley and Beasley Rural",225,218,0.028,Trabajo infantil,2.3,0.89
2024,Amazonas,Miller Group Rural,95,95,0.0,Trabajo infantil,1.0,7.92
2021,La Guajira,"Coleman, Mcbride and Andersen Rural",242,230,0.049,Acceso,2.4,0.43
2022,La Guajira,Ayala-Campbell Rural,194,167,0.135,Migración,1.9,5.7
2023,Guaviare,"Kim, Ward and Williams Rural",134,129,0.036,Acceso,2.1,15.07
2021,Cauca,Anderson and Sons Rural,178,152,0.144,Trabajo infantil,1.1,0.82
2023,Nariño,Lynch LLC Rural,264,228,0.133,Económica,1.5,2.72
2024,Casanare,Webb-Hanson Rural,298,269,0.095,Trabajo infantil,1.0,5.09
2022,Meta,Jones-Park Rural,175,170,0.024,Migración,1.5,20.67
2023,Casanare,Chan PLC Rural,97,90,0.065,Otro,2.0,2.63
2020,Chocó,Boyd-Montoya Rural,254,231,0.088,Migración,2.1,1.2
2020,Chocó,Bowers-Terrell Rural,89,78,0.118,Acceso,2.1,0.16
2021,Casanare,"Mcpherson, Taylor and Roberts Rural",131,126,0.037,Trabajo infantil,1.2,9.99
2020,Chocó,Baldwin LLC Rural,163,134,0.172,Trabajo infantil,2.1,3.2
2020,La Guajira,Robles-Walker Rural,72,63,0.117,Migración,1.6,7.37
2024,Guaviare,Barnes-Brown Rural,181,158,0.123,Acceso,1.2,9.31
2020,Putumayo,Galvan Ltd Rural,191,165,0.132,Económica,1.9,0.7
2022,Casanare,Jennings Ltd Rural,53,44,0.166,Trabajo infantil,1.6,0.17
2020,Guaviare,"Miller, Ellis and Ortiz Rural",281,250,0.11,Migración,1.9,7.96
2021,Casanare,Kirby-Johnson Rural,93,80,0.135,Migración,1.4,3.28
2022,Meta,"Buck, Garner and Carter Rural",87,81,0.066,Económica,1.3,1.12
2022,Casanare,Rogers and Sons Rural,126,102,0.19,Acceso,2.2,3.38
2022,Chocó,"Brandt, Turner and Sanders Rural",291,260,0.106,Migración,2.1,1.57
2023,Nariño,Garcia Ltd Rural,167,155,0.066,Económica,1.2,7.99
2020,Casanare,Gill-Lee Rural,135,124,0.078,Otro,1.6,0.06
2022,Meta,Deleon-Adams Rural,135,134,0.006,Acceso,2.2,0.38
2024,La Guajira,"Pearson, Collins and Nguyen Rural",126,116,0.077,Trabajo infantil,1.9,4.58
2021,Meta,"Ford, Reeves and Murray Rural",130,130,0.0,Migración,2.4,1.72
2022,Chocó,Rodriguez-Miller Rural,238,204,0.139,Acceso,2.5,7.57
2021,Putumayo,Walls Inc Rural,146,128,0.121,Trabajo infantil,2.2,0.2
2023,Putumayo,Jackson LLC Rural,79,74,0.052,Otro,1.3,1.39
2024,La Guajira,"Williams, Roberts and Gutierrez Rural",224,202,0.098,Otro,1.0,21.59
2023,Nariño,Valdez-Reed Rural,162,145,0.1,Trabajo infantil,2.2,4.81
2020,Casanare,"Dougherty, Riley and Spencer Rural",222,212,0.042,Acceso,1.2,6.06
2022,Nariño,Lopez Ltd Rural,114,103,0.089,Migración,2.1,1.98
2023,Cauca,Williams LLC Rural,164,147,0.101,Otro,1.7,3.65
2023,Guaviare,"Gonzalez, Reynolds and Miles Rural",179,163,0.088,Acceso,1.8,0.17
2022,Guaviare,Jensen LLC Rural,202,188,0.066,Económica,1.2,0.41
2021,Putumayo,"Estes, Nelson and Marshall Rural",92,87,0.05,Otro,1.1,4.19
2023,Putumayo,Reynolds-Rivera Rural,297,271,0.086,Acceso,1.2,5.85
2020,Chocó,Anderson-Scott Rural,106,98,0.071,Otro,2.1,0.92
2024,Nariño,"Wright, Smith and Serrano Rural",164,142,0.129,Trabajo infantil,1.6,0.55
2024,Guaviare,Robinson-Garcia Rural,88,73,0.17,Trabajo infantil,2.5,0.16
2023,Cauca,Greene-Kelly Rural,125,106,0.146,Acceso,2.4,13.76
2020,Cauca,Williams and Sons Rural,262,235,0.103,Migración,1.5,6.17
2022,Meta,"Peterson, Hernandez and Terrell Rural",250,232,0.068,Migración,1.8,10.24
2022,Meta,Peterson and Sons Rural,74,63,0.145,Acceso,2.1,2.07
2023,Putumayo,Long-Taylor Rural,67,58,0.132,Trabajo infantil,1.1,8.43
2020,Amazonas,"Smith, Clark and Alvarez Rural",267,222,0.166,Trabajo infantil,2.0,3.01
2021,Nariño,"Henry, White and Wong Rural",182,161,0.11,Migración,1.8,5.16
2022,Guaviare,Pitts-Garcia Rural,159,129,0.187,Acceso,1.3,0.43
2023,La Guajira,Thompson-Campos Rural,97,86,0.11,Acceso,1.6,0.31
2024,Nariño,"Baker, Guerrero and Turner Rural",165,153,0.067,Otro,1.6,10.27
2020,Nariño,"Rodriguez, Christensen and Hess Rural",102,94,0.076,Trabajo infantil,2.1,1.24
2020,Cauca,"Moon, Murphy and Mayer Rural",254,221,0.126,Otro,1.3,5.38
2022,Nariño,Wilson-Pitts Rural,167,155,0.071,Económica,1.4,3.45
2023,Guaviare,Galvan Ltd Rural,297,241,0.186,Trabajo infantil,1.9,1.3
2024,Casanare,Clark-Jones Rural,200,175,0.122,Económica,1.5,28.04
2023,La Guajira,Mitchell and Sons Rural,258,231,0.102,Trabajo infantil,2.4,1.11
2024,Cauca,Pope-Thompson Rural,222,198,0.106,Migración,1.5,5.7
2021,Chocó,Moore-Reynolds Rural,79,72,0.087,Migración,1.6,10.14
2021,Guaviare,"Mclaughlin, Espinoza and Kelley Rural",149,146,0.017,Acceso,1.9,6.49
2024,Casanare,"Sanchez, Levine and Richardson Rural",158,145,0.076,Migración,1.7,2.12
2024,La Guajira,Hill-Salas Rural,192,157,0.179,Migración,1.7,2.32
2021,La Guajira,"Duncan, Tyler and Montgomery Rural",130,115,0.111,Acceso,1.9,2.89
2022,Amazonas,Flores PLC Rural,174,147,0.152,Migración,1.3,6.46
2023,Guaviare,White LLC Rural,179,151,0.154,Acceso,1.6,11.55
2023,Casanare,"Wilson, Lowery and Miller Rural",231,208,0.098,Acceso,1.7,2.74
2020,Amazonas,Bryan and Sons Rural,253,219,0.133,Migración,1.4,12.17
2022,Nariño,Walters-Cook Rural,187,183,0.021,Trabajo infantil,1.3,1.18
2023,Meta,Moore LLC Rural,190,156,0.174,Otro,1.2,6.6
2020,Chocó,Jackson-Allen Rural,248,206,0.169,Otro,2.2,0.71
2022,Guaviare,Cuevas-Frank Rural,260,227,0.125,Económica,2.1,0.99
2023,Guaviare,Mclaughlin LLC Rural,105,93,0.113,Acceso,1.2,1.36
2021,Chocó,Warner PLC Rural,273,245,0.099,Económica,1.7,1.42
2022,Cauca,Figueroa-Wright Rural,162,136,0.159,Económica,2.2,10.23
2021,Nariño,Cuevas Group Rural,257,221,0.139,Otro,2.0,2.23
2024,Casanare,Anderson-Adkins Rural,92,92,0.0,Otro,1.2,4.49
2021,Nariño,Miller LLC Rural,256,235,0.082,Económica,1.9,17.44
2024,Chocó,"Hull, Mccarty and Cohen Rural",202,193,0.044,Otro,1.3,1.49
2022,Chocó,"Smith, Johnson and Lopez Rural",196,189,0.035,Trabajo infantil,2.4,7.42
2024,Cauca,Gay PLC Rural,84,70,0.158,Acceso,2.4,0.7
2022,La Guajira,"Leach, Mccoy and Guzman Rural",229,206,0.098,Migración,1.4,1.35
2022,Nariño,Smith-Clark Rural,244,213,0.124,Acceso,1.7,0.38
2024,Chocó,Johnson Ltd Rural,210,188,0.104,Acceso,1.6,2.05
2020,Cauca,Bautista Inc Rural,153,147,0.036,Otro,2.1,8.83
2022,Meta,"Avery, Robinson and Gallegos Rural",293,286,0.022,Acceso,1.5,4.8
2020,Cauca,Barnes Group Rural,237,218,0.079,Acceso,2.0,6.13
2022,Cauca,Price PLC Rural,253,232,0.083,Otro,1.6,0.19
2023,Nariño,"Webb, Lee and Nguyen Rural",176,161,0.083,Trabajo infantil,1.5,6.67
2022,Putumayo,Mclaughlin Ltd Rural,190,174,0.084,Otro,1.2,9.29
2023,Putumayo,Burton-Edwards Rural,278,221,0.204,Económica,1.1,8.19
2023,Amazonas,"Boone, Stephens and Elliott Rural",81,68,0.152,Migración,1.7,1.15
2020,Casanare,Wood-Summers Rural,101,89,0.112,Migración,2.3,0.59
2022,La Guajira,Silva-Ray Rural,273,246,0.096,Trabajo infantil,1.1,3.79
2022,Chocó,"Vaughn, Huynh and Perkins Rural",71,64,0.098,Trabajo infantil,2.0,13.79
2021,Amazonas,Stewart-Singh Rural,151,130,0.137,Trabajo infantil,2.1,1.9
2021,Casanare,"Holder, Lewis and Carr Rural",217,196,0.096,Económica,2.1,3.54
2020,Nariño,Jones LLC Rural,172,146,0.146,Económica,1.2,3.03
